HOSTNAME,VENDOR,MODEL,IPS,SERIALS,STATUS,SITE_CODE,DIVISION,LOCATION,FW_TYPE
1548B01557,Checkpoint,T-110,,1548B01557,,Unknown Import,,Unknown Import,
1644BA1265,Checkpoint,CPAP-SG3200-NGTP,,1644BA1265,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1644BA1279,Checkpoint,CPAP-SG3200-NGTP,,1644BA1279,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1644BA1283,Checkpoint,PB-10,,1644BA1283,,Unknown Import,,Unknown Import,
1644BA1316,Checkpoint,CPAP-SG3200-NGTP,,1644BA1316,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1651BA1417,Checkpoint,CPAP-SG5200-NGTP-HPP,,1651BA1417,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1651BA1518,Checkpoint,CPAP-SG5200-NGTP-HPP,,1651BA1518,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1651BA1541,Checkpoint,CPAP-SG5200-NGTP-HPP,,1651BA1541,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1651BA1542,Checkpoint,CPAP-SG5200-NGTP-HPP,,1651BA1542,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1651BA1545,Checkpoint,CPAP-SG5200-NGTP-HPP,,1651BA1545,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1651BA1546,Checkpoint,CPAP-SG5200-NGTP-HPP,,1651BA1546,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1651BA1547,Checkpoint,CPAP-SG5200-NGTP-HPP,,1651BA1547,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1651BA1553,Checkpoint,CPAP-SG5200-NGTP-HPP,,1651BA1553,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1701BA0665,Checkpoint,CPAP-SG3200-NGTP,,1701BA0665,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1701BA0672,Checkpoint,PB-10,,1701BA0672,,Unknown Import,,Unknown Import,
1701BA0675,Checkpoint,CPAP-SG3200-NGTP,,1701BA0675,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1701BA0676,Checkpoint,CPAP-SG3200-NGTP,,1701BA0676,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1704BA0422,Checkpoint,CPAP-SG3200-NGTP,,1704BA0422,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1704BA0436,Checkpoint,CPAP-SG3200-NGTP,,1704BA0436,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1704BA0442,Checkpoint,CPAP-SG3200-NGTP,,1704BA0442,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1704BA0448,Checkpoint,PB-10,,1704BA0448,,Unknown Import,,Unknown Import,
1704BA0461,Checkpoint,PB-10,,1704BA0461,,Unknown Import,,Unknown Import,
1704BA0471,Checkpoint,PB-10,,1704BA0471,,Unknown Import,,Unknown Import,
1704BA0485,Checkpoint,CPAP-SG3200-NGTP,,1704BA0485,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1704BA0486,Checkpoint,CPAP-SG3200-NGTP,,1704BA0486,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1704BA0489,Checkpoint,CPAP-SG3200-NGTP,,1704BA0489,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1704BA0492,Checkpoint,CPAP-SG3200-NGTP,,1704BA0492,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1704BA0496,Checkpoint,CPAP-SG3200-NGTP,,1704BA0496,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1704BA0499,Checkpoint,PB-10,,1704BA0499,,Unknown Import,,Unknown Import,
1704BA0502,Checkpoint,CPAP-SG3200-NGTP,,1704BA0502,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1704BA0510,Checkpoint,CPAP-SG3200-NGTP,,1704BA0510,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1707BA4333,Checkpoint,CPAP-SG3200-NGTP,,1707BA4333,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1710BA0562,Checkpoint,PL30,,1710BA0562,,Unknown Import,,Unknown Import,
1819BA3822,Checkpoint,PL-20,,1819BA3822,,Unknown Import,,Unknown Import,
1819BA3845,Checkpoint,PL-20,,1819BA3845,,Unknown Import,,Unknown Import,
1819BA3924,Checkpoint,CPAP-SG5600-NGTP,,1819BA3924,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1819BA3944,Checkpoint,CPAP-SG5600-NGTP,,1819BA3944,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1819BA3945,Checkpoint,CPAP-SG5600-NGTP,,1819BA3945,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
1819BA3946,Checkpoint,CPAP-SG5600-NGTP,,1819BA3946,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
_pending_rename__RRICMCP-SEC-MPLEAST-01/admin/sec/act,Cisco,5585-SSP-60,10.18.126.251,JMX195180BN/admin,Offline,CLD,PCW,US > RI > Cumberland > 99975 - 99975B01,B2B
_pending_rename__RRICMCP-SEC-MPLEAST-01/anthem,Cisco,5585-SSP-60,,JMX195180BN/anthem,,CLD,PCW,US > RI > Cumberland > 99975 - 99975B01,B2B
_pending_rename__RRICMCP-SEC-MPLEAST-01/convey,Cisco,5585-SSP-60,10.0.127.12,JMX195180BN/convey,Offline,CLD,PCW,US > RI > Cumberland > 99975 - 99975B01,B2B
_pending_rename__RRICMCP-SEC-MPLEAST-01/medcare,Cisco,5585-SSP-60,10.0.127.16,JMX195180BN/medcare,Offline,CLD,PCW,US > RI > Cumberland > 99975 - 99975B01,B2B
_pending_rename__RRICMCP-SEC-MPLEAST-01/omnicare,Cisco,5585-SSP-60,10.0.127.4,JMX195180BN/omnicare,Offline,CLD,PCW,US > RI > Cumberland > 99975 - 99975B01,B2B
_pending_rename__RRICMCP-SEC-MPLEAST-01/opera,Cisco,5585-SSP-60,10.0.127.6,JMX195180BN/opera,Offline,CLD,PCW,US > RI > Cumberland > 99975 - 99975B01,B2B
abc/abc,Cisco,5585-SSP-60,10.218.232.73,JMX1748804Y/abc,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,
alere/alere,Cisco,5585-SSP-60,10.218.232.13,JMX1748804Y/alere,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,
anthem/anthem,Cisco,5585-SSP-60,,JMX1952806K/ANTHEM,,CLD,PCW,US > RI > Cumberland > 99975 - 99975B01,
att-sec-dc-five9-fx-01,Cisco,FPR4145-NGFW-K9,10.73.24.86,JMX2522X00K,Offline,SNC,Colo,US > CA > Santa Clara > CoreSite (SNC),
att-sec-dc-five9-fx-02,Cisco,FPR4145-NGFW-K9,10.73.24.87,JMX2522X00J,Offline,SNC,Colo,US > CA > Santa Clara > CoreSite (SNC),
aws-use1nonprd-ingress-01,Paloalto,pa-vm,10.207.100.176,7955000716782,Offline,us-east-1,,AWS > us-east-1,CLOUD|PERIMETER
aws-use1nonprd-ingress-03,Paloalto,pa-vm,10.207.101.116,7955000716783,Offline,us-east-1,,AWS > us-east-1,CLOUD|PERIMETER
