HOSTNAME,VENDOR,MODEL,FW_TYPE,FTC_STATUS,FTC_DISPLAY_NAME,FTC_IP_ADDRESS,FTC_DEVICE_TYPE,FTC_LOCATION,FTC_DIVISION
aws-use1nonprd-ingress-01,palo_alto,PA-VM,CLOUD|PERIMETER,NOT_IN_FTC_REPORT,,,,,
aws-use1nonprd-ingress-02,palo_alto,PA-VM,CLOUD|PERIMETER,NOT_IN_FTC_REPORT,,,,,
aws-use1nonprd-ingress-03,palo_alto,PA-VM,CLOUD|PERIMETER,NOT_IN_FTC_REPORT,,,,,
aws-use1nonprd-ingress-04,palo_alto,PA-VM,CLOUD|PERIMETER,NOT_IN_FTC_REPORT,,,,,
aws-use2nonprod-ingress-01,palo_alto,PA-VM,CLOUD|PERIMETER,NOT_IN_FTC_REPORT,,,,,
aws-use2nonprod-ingress-02,palo_alto,PA-VM,CLOUD|PERIMETER,NOT_IN_FTC_REPORT,,,,,
aws-use2nonprod-ingress-03,palo_alto,PA-VM,CLOUD|PERIMETER,NOT_IN_FTC_REPORT,,,,,
aws-use2nonprod-ingress-04,palo_alto,PA-VM,CLOUD|PERIMETER,NOT_IN_FTC_REPORT,,,,,
CBN-SEC-T1B-APS-01,cisco,ASA5555 (V05),INTERNAL,NOT_IN_FTC_REPORT,,,,,
egc-use4-ztna-nonprod-01,cisco,Cisco Firepower Threat Defense for GCP,CLOUD|PERIMETER,FOUND_IN_FTC_REPORT,use4-ztna-nonprod-01,10.143.67.98,ASA on FTD,"Scottsdale, AZ Shea Data Center Firewalls",PSS
egc-use4-ztna-nonprod-02,cisco,Cisco Firepower Threat Defense for GCP,CLOUD|PERIMETER,FOUND_IN_FTC_REPORT,egc-use4-ztna-nonprod-02,10.143.67.99,ASA on FTD,"Scottsdale, AZ Shea Data Center Firewalls",PSS
egc-use4-ztna-nonprod-03,cisco,Cisco Firepower Threat Defense for GCP,CLOUD|PERIMETER,FOUND_IN_FTC_REPORT,egc-use4-ztna-nonprod-03,10.143.67.100,ASA on FTD,"Scottsdale, AZ Shea Data Center Firewalls",PSS
egc-use4-ztna-nonprod-04,cisco,Cisco Firepower Threat Defense for GCP,CLOUD|PERIMETER,FOUND_IN_FTC_REPORT,egc-use4-ztna-nonprod-04,10.143.67.101,ASA on FTD,"Scottsdale, AZ Shea Data Center Firewalls",PSS
egc-use4-ztna-nonprod-05,cisco,Cisco Firepower Threat Defense for GCP,CLOUD|PERIMETER,FOUND_IN_FTC_REPORT,egc-use4-ztna-nonprod-05,10.143.67.102,ASA on FTD,"Scottsdale, AZ Shea Data Center Firewalls",PSS
egc-use4-ztna-nonprod-06,cisco,Cisco Firepower Threat Defense for GCP,CLOUD|PERIMETER,FOUND_IN_FTC_REPORT,egc-use4-ztna-nonprod-06,10.143.67.103,ASA on FTD,"Scottsdale, AZ Shea Data Center Firewalls",PSS
egc-usw2-ztna-nonprod-01,cisco,Cisco Firepower Threat Defense for GCP,CLOUD|PERIMETER,FOUND_IN_FTC_REPORT,egc-usw2-ztna-nonprod-01,10.143.67.168,ASA on FTD,"Scottsdale, AZ Shea Data Center Firewalls",PSS
egc-usw2-ztna-nonprod-02,cisco,Cisco Firepower Threat Defense for GCP,CLOUD|PERIMETER,FOUND_IN_FTC_REPORT,egc-usw2-ztna-nonprod-02,10.143.67.169,ASA on FTD,"Scottsdale, AZ Shea Data Center Firewalls",PSS
egc-usw2-ztna-nonprod-03,cisco,Cisco Firepower Threat Defense for GCP,CLOUD|PERIMETER,FOUND_IN_FTC_REPORT,egc-usw2-ztna-nonprod-03,10.143.67.170,ASA on FTD,"Scottsdale, AZ Shea Data Center Firewalls",PSS
egc-usw2-ztna-nonprod-04,cisco,Cisco Firepower Threat Defense for GCP,CLOUD|PERIMETER,FOUND_IN_FTC_REPORT,egc-usw2-ztna-nonprod-04,10.143.67.171,ASA on FTD,"Scottsdale, AZ Shea Data Center Firewalls",PSS
egc-usw2-ztna-nonprod-05,cisco,Cisco Firepower Threat Defense for GCP,CLOUD|PERIMETER,FOUND_IN_FTC_REPORT,egc-usw2-ztna-nonprod-05,10.143.67.172,ASA on FTD,"Scottsdale, AZ Shea Data Center Firewalls",PSS
egc-usw2-ztna-nonprod-06,cisco,Cisco Firepower Threat Defense for GCP,CLOUD|PERIMETER,FOUND_IN_FTC_REPORT,egc-usw2-ztna-nonprod-06,10.143.67.167,ASA on FTD,"Scottsdale, AZ Shea Data Center Firewalls",PSS
